,comments
30,"Excellent video presentation,  review and comparison.
Having studied the specifications of various units, the
UNI-T UNI690b  is above average for the price.
Perhaps not perfect, however at this price it surpasses
some more expensive units.
For anyone looking for a less expensive unit,  I would sa
don't waste your $$$ --  One will be happier in the long term
to invest a little more and buy the UNI-T UNI690b.
IT wasn't so long ago that units with these specifications
would cost $1400"
31,"I used to have a FLuke thermal. It was a great product. I believe I bought it for about $9,000. It had a fusion system where thermal was fused with visible. I used it to inspect motor control centers, high power connections, fuses etc.  It was purchased to replace an old, $50,000 FLIR camera."
32,"The UTI690B thermal camera (basically the same as video) stopped working after charging it the first time. I was charging it with a wall adapter (only a USB cable is included) and it just doesn't turn on anymore. It's a fantastic camera, and I really enjoyed using it. I expect it's just a bad battery or hopefully just a bad batch."
33,"UNI-T is a good brand in my book. You need to spend a lot more to reach the features and often even the quality of an UNI-T with renowned established brand. I use one of their multimeters for more than 6 years and I am very very happy with it, it was a steal compared to the big name brand F__K_ what were you all thinking!? 😄"
34,"fantastic, I have been looking to get a good unit as I am working on new thermal diode designs (passive thermal) that is supposedly impossible according to the laws of entropy but my previous versions over my windows for the last 3 years saving over 200 dollars a month during the hottest months from the AC bill beg to differ, but I really want to refine this and need thermal imaging to properly know what is going on, so tweaking the design will be, hopefully at least, much easier. Thanks so much."
35,"My work phone is the Ulefone Armor 9, costs $550 upwards;
it has a FLIR camera, but default res is only 1080x1440. 
The rest of the phone makes it very easy to send footage in documentation for reports/emails.
It also has a youtube-live mode, and it has a night-vision filter 8-)
And it supports borescopes out of the box (it's just another app). 
I do not use the low-res Ulefone version, with its fixed connection :-/"
36,"Nice review, I would wait until available in USA because returning for warranty would be very costly!"
37,Nothing like looking for something new and finding someone you trust’s video review. 👍🏼
38,Is the lithium battery in the more advanced version replaceable? I'm not a fan of non-replaceable batteries. I'm assuming you can replace it if it's a 26650. Thanks for your help!
39,"given the specs for Field Of View (FOV) of 260b vs your older model,  i'm surprised when you compare the sample images they look like the FOV is the same between the cameras.  I would expect the FOV of the newer camera to be 5/3 more....(50deg / 30 deg)  Do you have any explanation for this?  it seems like manufacturers specs are often not reliable and is most likely the case here. 

Great video thank you for sharing."
40,The comparison shots were great.  Especially seeing that one of the meters was inaccurate by almost 10 degrees.
41,We really appreciate your work. Thanks again!
42,Great review. The cheaper FLIRs have come a long way. I think you just made a sale
43,Now that is what I would call a very enlightening video! 👍👍😉😉🔥🔥
44,everyone reviewing thermal camera are ignoring the minimum distance you can use this device. Can i use it for close up circuit analysis? Like 20-30 cm away from an object?
45,Hi. Can you please recommend a cheap thermal camera for detecting short on pc motherboards? Looking for something cheap but that will do the job. Thanks In advance and happy new year!
46,EXCELLENT review - thanks!!
47,"I've got an old and formerly very expensive FLIR i7. It doesn't do a lot but what it does it does great. What really stinks about it though is the support and the software. I think the software is what makes or breaks such a camera, the display is nice to get information on a glance, ensure the correct settings and make sure you capture everything you want to capture but where those cameras really shine is the after-the-fact image analysis (or ""report generation"") and that is where FLIR really sucks. The free FLIR Tools have been last updated 2014,only  a few months after I bought the camera... They're slow, they lousy, effectively abandonware and this camera doesn't have the required firmware to do live capture so you have to go through a rather time consuming shoot/analyze cycle...

I'd really love to hear how good or bad the UNI-T software is... whatever my next thermal camera will be, it's definitely not going to be from FLIR."
48,"To record video with this camera I use OBS instead of the Windows camera app and it works great, although framerate drops. Also, using an OTG cable you can also record using smarthphone, so you can record on the fly. The resulting video is only what is shown on screen, no data or visible image. My camera firmware is v1.1.2"
49,12:30 - there is a way how to catch images without keys. Just press again on the trigger switch on the handler after getting the confirmation menu.
50,"I purchased one of these in December 2020, $470AUD with free DHL shipping from Hong Kong. I love it, great for electronic work and such bang for the buck when you consider the thermal resolution."
51,"It really depends on the use. For the typical homeowner, someone who just needs a toolbox camera, or maybe for some computer troubleshooting, these cheep little cameras do the trick just fine. When serious thermal analysis needs to be done in a professional setting or when you NEED to know the temperature of a something, I'd buy a FLIR. They cost alot more but...well let's just say that you get what you pay for."
52,"there is an option in the menu for autosave that does exactly that, it automatically saves the picture without asking for confirmation"
53,"There is a option in menu to save pictures automaticall (autosave) after pull the trigger, without confirmation afterwards."
54,Dont forget that there is a debate whether that thermal resolution is indeed the physical resolution of the sensor or it is an interpolated resolution. It seems many people have serious doubts about that spec
55,"It's $530 now on Amazon. I ordered the HIKMICRO B20 for same price that has similar features but includes WiFi casting, 25 Hz refresh rate, and Max/Min temperatures displayed."
56,"I use a ""Seek"" camera for my phone that I got about 8 years ago. Still working well, and I think they do some higher resolution models now."
57,"For saving images just press the trigger twice.
The camera is picky on video capturing software, I had success with e.g. Free2X Webcam Recorder.
Someone already decoded the image file format, so one can do postprocessing or whatever you like!"
58,"Hi,
Just watched your video after I got my own UTi260B today, I'm very happy with it.   In your video you say that it's only possible to capture video in the provided software.  But I use my UTi260B in OBS without problems to capture the thermal video stream.   (however it only works with direct cable to my PC, not via USB3 hub)."
59,"I did a review on one of these a few months ago, I like my one quite a lot.
The only trouble is I’m getting a lot of reports of them being out of stock and people are having to wait a long time to get them."
60,"If the visible camera is autofocus, then the overlay adjustment could be automatic, based on the discovered optical focal distance."
61,"I have that camera and the alignment with visible picture is pretty ok, but you don't really need that as thermal reaolution is high enough to see all details. Also, a tip, you could buy cheap macro lens (used in CO2 laser) and you get macro focus point. That  FLIR is no competitor"
62,I have one on the way from BG. It was out of stock for many months. Looking forward to finding all the hot spots around my house. Thanks for all you videos.
63,"Отличный обзор, спасибо!"
64,I am using flir e4 with hacked FW to e8 specs. It has better resolution (320x240). And I use 3 different Co2 laser focusing lens (ZnSe) for closeup shots. The only issue I have it is annoying slow 9hz update rate. And stupid network connectivity to download picture of course.
65,"Hello, would you recommend the UTi260M version? has about the same specs, but is cheaper, about 270$. I want to use it mostly for heat loss of my house, pluming, electrical fuses, etc."
66,Информативный подробный обзор. Спасибо!
67,"You can plug the thermal imager directly in to the phone itself without the cradle and cable.
Check out my Instagram to see the video.
https://www.instagram.com/reel/Ch-fZNlg2nR/?utm_source=ig_web_copy_link"
68,What an awesome bit of technology! I’m just dipping into thermal and I’ve been following T2 Pro since 2022. This review is what I needed to see. Thank you!
69,"Superb review. Thank you.

Looks like a great value gadget for those wanting to explore the pros and cons of thermal imaging before emptying the wallet/purse on a device that has top-of-the-range characteristics.

While I have an expensive Hik unit that is clearly not in the same league, if I was limited to sub-12ftlb shooting or just watching nature in the garden, I'd be very tempted to give it a try, especially given that you can record sound too.

This reminds me very much of my first home-built IR system and the biggest drawback with that set-up was the notable battery drain, which rendered my phone dead pretty quickly - maybe the current draw of this device isn't the same though? With that said, I wonder if there is a missed opportunity to incorporate a a 2x 18650 battery holder in the handgrip (along with a suitable voltage regulator). So, plug the thermal unit into the handle directly and then use the cable to connect the handle to the phone perhaps? Doubt it would cost much more to produce and would allow the user to add their own batteries for improved longevity if it's important to them."
70,Great video review Lancs very nice unit for the money and with all of the features makes it a good starter thermal. I've been looking at this one and the size of the unit and quality of the view is amazing. Thank you for doing this video I love the no BS review. Cheers brother
71,"Thanks for a great & honest review, very clear images & at a good price. I was looking at hand held monoculars today with a view to buying one but I think I’m gonna go for this & save quite a bit money. Cheers buddy 👍🇬🇧"
72,The handle seems very solid. It is very useful on farms. Convenient and cost-effective. Pests are so annoying!
73,"Great video mate, good info, I’m just thinking of diving into thermal and this video has given me something to think about for sure 👍"
74,Seems a good unit. You could leave it set up and just add your phone when needed. Good review 👍👍
75,"Nice review it looks really good and affordable, it would be better if you could get a bracket and attach it to the scope and the image quality is very good I've got a HIKMICRO lynx lc06 witch is good enough. But nice review thank you."
76,Great thermal monocular given the performance in such a small housing.
77,Thanks for the video.  What are the differences between t3pro and t2pro?
78,"Great honest review LVC, your right it is a little cumbersome maybe they could supply something like a phone mount similar to the ones used in cars (without the arm and sucker part) and a small mount that the imager could clip to, if you have an old working phone you could leave it setup ready to go?"
79,"Excellent 👌 review,, seems like an invaluable piece of kit"
80,"Can you do a short film showing this on rabbits at 50-100 yards? I love the footage on the rats, but I would be using this on rabbits and hares out to 100+ and Coyotes at further distances for spotting."
81,"Can you have the temps displayed too? Like the less hunting oriented units? Be great for my business for pest control, not just hunting but also locating wasps nests too"
82,"Good morning Steve from Suffolk UK. I think your channel is one of the best informative channels in the UK. Others claim it but you do it? As for the new thermal your putting through its paces I have a thermal a 19 mm thermal handheld bit like the hike version but the problem with that is when you look through that thermal you see the rats in the brambles or bushes and then you pick up your rifle and look through the scope with infrared and you can't figure out whereabouts they were. So my idea is to get one of those little things and mount it on the side of the rifle, on a little picatinny mount and  the  camera  with a USB cable come back to the smallest mobile i phone I can find on the market to come close to the diopter on my night vision scope so I can quickly reference between what I'm looking at through the thermal and where the cross hairs on the night side are because I found this is a common problem  that I face when I'm out night shooting 99% of the time. I don't know what you think, but I think that's a brilliant idea if I make a really small bracket for this really small camera and it would not increase the weight of the rifle hardly at all. What are your thoughts on this please? Your loyal follower?"
83,Excellent honest review thanks 👍🏻
84,"I too want a decent, and honest review of any product. I do feel you have given that to us. It seems to be a great product, and reasonably priced as well. Thank you, and cheers from Texas."
85,"Thank you for an honest, articulate review of a great product.  Pleased to see you wearing a tee shirt showing the poppy wrapped in barbed wire.  Nice touch.   Rememberance Day 11th November, Lest we Forget."
86,Nice kit good price totally get the honesty thing bud cheers for the force wear app found in comments great videos out on tree rats soon 👍
87,"Continuous commercial for Flir.
Lawyers love such videos"
88,"I have been a certified thermographer for about 15 years and use a high end FLIR for inspections of electrical gear. Good explanation of reflectivity, emissivity and transmittance. Most casual users don’t know about these pitfalls of infrared thermography. Hollywood doesn’t help… When people see a movie and cops are using IR to see through buildings to locate bad guys, I have to explain that’s not possible. What you demonstrated with tinfoil is a great demo of emissivity and reflectivity. Tinfoil does serve a purpose in thermography while in the field. When using infrared on a items with high emissivity, I will use a piece of tinfoil to measure background temperature. Wad up the foil and unfold it multiple times so the surface is full of micro wrinkles. Point the dull side toward the area you need a reflected temperature then point the IR camera at the tinfoil. The dull finish and micro wrinkles provides a good average temperature of the area it’s pointing. I can enter the reflected temperature into the reporting software to obtain an accurate component temp. Obviously you want to shoot at an angle so your body temp is not included in the average temp seen in the reflection of the foil."
89,I was really impressed with your ability to follow a fully loaded circuit through the wall/drywall. For those times when you have no idea where a wire is routed...
90,I borrowed an IR camera a while back & went through a similar tour of the house and surroundings but even though I feel I'm a creative person you take it to the next level Matthias ! I obviously had a lot more exploring to do . I was particularly impressed with the see-thru garbage bag and the temperature difference you see in the Boot-prints while walking through the snow.
91,As an engineer this is easily the most interesting video I’ve seen all year.
92,"This is a smart company. They pay you pennies on the dollar compared to ""real"" advertising, yet your video is very effective at making me want to buy one of these.
It looks very fun, but also useful. My favorites were the stud finder and wire tracer."
93,So interesting! I really enjoyed the examples of infrared interactions at the end. I love that you included the ffmpeg command. The dual camera setup is great too! I hope these thermal cameras keep coming down in price.
94,"Fascinating. I never knew such an alternative world existed but now that I do, I want one of those! As a carpenter, what an excellent way to find studs, cables, pipes and so on, anywhere in a building - but it's also a fun and unique eye-opener in everyday life."
95,"Funnily enough the most interesting part was the chair.
I work in a 3D art industry and what I saw with the chair really reminded me of what we call ""baking"", which is basically fixing lighting or other data onto an object (specifically its texture) so it doesn't change.
So the chair was lit in specific way and that was baked in, so when you turned it, the lit areas stayed the same, even though the source of ""light"" didn't match up anymore."
96,The shot of the running water was so much more interesting than I expected.
97,Using an IR camera to find studs is genius.
98,"This is so genuinely interesting to watch!! The deeper snow is warmer, the electrical wires in the walls, the office chair!! Thank you!"
99,13:37 (nice) that pattern in the water is so cool! Looks exactly like some art you'd see at some nerd convention us viewers might attend
100,What a nice video. The water looked absolutely rad.
101,"tech like this is amazing, basically access to a whole new dimension"
102,This is one of the coolest videos on YouTube. Crazy that it’s essentially a sponsored product placement on your second channel.
103,"I bought my Cat S62 Pro because of its FLIR cam, it is really usefull, as you have illustrated. During the cold winter here in Norway I checked all the temp. losses from outside, but the most important one was when I checked all the junction boxes in the house, I did find one were the connectors where going bad and I did fix that, no fire here!  At work I can use my Cat S62Pro to check conveyer belt motors, and electric stuff that I work with. Really usefull phone!"
104,"Thanks for your videos, always informative and fun....like life should always be."
105,"Man, what a super fascinating video.  It was really neat to see so much IR video all at once like that.  You just get so used to seeing the world in visible light that its always a bit startling to see the world differently like this.  Maybe TOPDON will release a UV camera one day and you can build a triple mount."
106,"We picked one of these types up at work, great gadget to have around. Fun fact, few years ago the cheap FLIR ones were only 9hz because of US export restrictions on IR cameras. Now the cheap chinese ones can give you glorious 25FPS / Hz IR!"
107,"Very interesting, and an excellent demonstration of the utility of thermal imaging. The emissivity of different materials and surface finishes is fascinating too, so I would be keen to see how you tackle that subject Matthias. Thank you, always learning with you."
108,"Check out the TNV10 Thermal Camera (10% off with code AirsoftGunsnGear10): 
https://www.mileseeytools.com/?ref=L7sbeVgW

Disclaimer: the above links are affiliate links meaning at no additional cost to you,. I receive a small commission if you choose to purchase from these links. Everything earned goes back into making videos like this!"
109,And this is why Jackal gets banned almost all the time
110,“How did you know where I was?” Him- “Oh I just used my thermal camera to see your foot prints that’s all. Amazing!
111,"Me: staring at the floor with a thermal scope to track down a enemy
The enemy at the other side of the room: The fuck he looking at"
112,And what he neglects to mention is it’s over one thousand dollars
113,Props to the airsofters who play barefoot
114,Are we just coming to ignore how they sent him a 700$ Airsoft scope
115,"""How to illegaly cheat on an airsoft
Step 1 bring an actual mag-""
Edit:69 nice"
116,"Me with my ice suit:""my genius , its almost frightening"""
117,That seems very OP
118,Me: how are you using wall hacks in real life sir?
119,This is like the dollar store version of a thermal camera.
120,"If they were just in the room you’ll see footprints? Yeah, the elusive barefoot airsofter"
121,"""How to make everyone at the field hate you and call you a try hard for only $1000"""
122,"Bro just fucking turned into the predator, all he needs now is wrist blades and a shoulder cannon"
123,Okay now this is a epic gamer moment.
124,Who’s going to buy these irl walls for $700 😭
125,bro got tracker in real life 💀
126,This can be installed into a drone stationed above the the field with a preconfigured scan of the field and an ai that tracks movement you can send it wirelessly to a tablet that tracks your position and tell you the positions of all enemies relative to you
127,I’m abt to bloodhound this shit 💀
128,"Home Depot & Amazon links to thermal imaging tool (paid affiliate links):
🛒 Klein Tools TI250 Thermal Imager Home Depot: https://homedepot.sjv.io/x954k1
🛒 Klein Tools TI250 Rechargeable Thermal Imager Amazon Prime:  https://amzn.to/3pgcDdL
🛒 Klein Tool IR5 Dual-Laser Infrared Thermometer https://homedepot.sjv.io/jWyo1n"
129,"These work great for custom PC builds when you want to maximize airflow inside a case - find out your hotspots, etc."
130,"Hi Jeff This would come in handy, we will be working in our attic installation very soon and could sure use it. Thank you for your videos, and your tool reviews are Awesome!. Mary"
131,"Amazing. Thanks Jeff. I having insulation issue all over the house. I am noticed it a lot this morning because it’s 50 outside. Btw, loved the investigation done in that Miami condo."
132,"Perfect timing I’ve been using my Klein tools laser temp gun, but I know I need one of these to really remedy things. I plan on air sealing in my attic, high hats/fixtures, fans, and outlets."
133,I have been looking at one of these. I own a few Klein Tools and have been happy with them. I appreciate you taking the time to show how to read and interpret your findings.
134,Cool they took the radio and put in a thermal imagager. Way to go Klein.
135,I was looking for one to examine boards and look for chips running hot. I think this will work well for that.
136,"I'm really looking to buy the new borescope. If you could do a review on it, it would be awesome. I want to see how it compares in video quality to the HF one or similar."
137,it always amazes me how shoddy construction is at the home level. It's all about the looks and zero about the function unless you build it yourself or manage the build.
138,"Hey Jeff what do you specialize in EE?
I'm an EE too. Doing RF work right now and working on my MSEE in antenna and microwave engineering.

Anyway, no wonder I liked your channel right away. Must have been my EE-dar detecting a fellow EE haha"
139,"These are GREAT for detecting Shorts on Electronics boards, Ressistors or chips will shine like an exhaust tip XD"
140,I need to see someone use it for circuit board repair to see if it sees small capacitors.
141,"I bought the Flir that uses my phone for viewing, recording and reporting. I got it to check my electric panel and electric outlets. Paranoid over too much electrical stuff. 😁"
142,"Hi Jeff, 
Any idea, is this tool better than Android/iOS cameras from Flir on Amazon?
I personally think that specially dedicated separate device is better.
Just got one Kobalt from Lowe’s today and it’s kind of slow, small screen and gives bad resolution, so I’m going to return to store.
Then recall this your video…
Plan to use to verify heat (and possibly water damage) in house.
Don’t want to spend much and around $300 is right price for me.
Any advice from your side is very appreciated.
Thanks in advance, stay safe."
143,that would be a very helpful tool to have
144,How come you didn’t show electrical panel and the Klein tool? What kind of video are you producing? Thank you..
145,Great tool. Would be handy.
146,great video!
147,"Jeff, does it allow to see the walls water damage?
Thank you."
148,Well explained! Thank you!
149,Superb high quality Intellectual content on key concepts underlying thermal imaging techniques of optical sensing in real time spaced Environments.
150,"Excellent info! Thanks a lot.
Can you explain in detail how a lepton sensor in a flir camera works?"
151,Thank god i clicked on this its exactly what I was looking for 🤠
152,mentions NVG but shows VR Headset
153,HVAC use.
154,Good video but the music is terrible.
155,could we scan this for Jinns (ghosts) ?
156,Beautiful video but no views sadly
157,"► SUBSCRIBE, PLEASE: https://bit.ly/2QToKeE

TOP 5: Best Thermal Imaging Camera for Home Inspection 2021 

►Amazon US Links◄

5. Seek Shot – All-Purpose Thermal Imaging Camera

Amazon US: https://amzn.to/3quCtIj

4. 220 x160 IR Infrared Thermal Imager Camera Rechargeable Handheld, 35200 Pixels Temperature Automatic Tracking Thermal Imaging Camera 

Amazon US: https://amzn.to/35Ln2Dw

3. FLIR E4 Compact Best Thermal Imaging Camera for Home Inspection 2021 with 80 x 60 IR Resolution and MSX

Amazon US: https://amzn.to/3qqZqMl

2. FLIR TG165 - Spot Thermal Camera - with 2-Meter Drop Durability for Your Toughest Jobs

Amazon US: https://amzn.to/39DZPV2

1. Seek Thermal Compact – All-Purpose Thermal Imaging Camera for Android MicroUSB

Amazon US: https://amzn.to/2N9FaR8"
158,Useful content! Thanks!
159,"This is misrepresentative. This is a FLIR advertisement, not a review."
160,Nice ...very informatives☺️
161,I don’t see how having 4 or 5 modes is “simpler than a smartphone”
162,Great for home! ❤️
163,Thanks for this!
164,Thanks for sharing
165,I dont want one for home inspection . I want to know where people have been . Where they have been sitting or laying down .
166,Alina a Ad covered the video.  YouTube fail.
167,"Alibaba Ad covered video , YouTube fail.  YouTube autocorrected Alibaba to jibbberish"
168,Rubbish! This is not a review!! NOT SUBSCRIBING TO THIS MISLEADING CHANNEL!!
169,"Didn't get this at all.  It's not a review of any of the devices, it's just to show what a TI camera can do (which we all know).  It's just an advertisement for the cameras,  What a shame.  It could have been very useful but it was just a misrepresentation."
170,music...to loud and bs imo could not finish
171,Worthless
172,@0.0 mute
173,Can you damage an infrared thermometer by pointing it at something too hot?
174,"IS it available in India, and the cost Please"
175,"Which is better to me,  if i used for finding out the water presents under the tiles...
Plz rply..."
176,Which one is preferred for body temperature reading
177,Thermal camera can how long it detect
178,Which thermometer is better-Infrared or thermal?
179,"please, i need to buy the thermal camera, give me the web site to buy it"
180,How much price
181,What a great video with informative content👍I also like Infiray P2 Pro thermal camera. It really amazed me because it supports secondary analysis of the temperature data in the thermal images. And I can connect it directly to the smartphone for plug-and-play accurate temperature measurement. Very convenient!
182,Thanks
183,"I'm sure you've figured this out by now, but it's actually an issue of parallax - why the thermal square appears below the electrical outlet. It's in fact the outlet itself. The visible and infrared images don't always align. There may be a setting to help adjust."
184,The spots in the ceiling could be caused by gaps in insulation or places where mice have eaten insulation.  What you want to do is rapidly change the temperature in the environment if you want to 'see' water.   Home inspectors who use these undergo training and certification so they don't go unnecessarily freaking out homebuyers about roof leaks...
185,"Thermal uncovers many issues not observed by the human eye. I use several Flir products, E96 backed up with a Protimeter moisture meters MMS3. I like the built in hydrometer. Nice video uncovering many issues-we never have enough tools in the moisture and thermal imaging inspection business. Thank for the video"
186,I'm changing careers from public school teacher to home inspector.  I appreciated your video.  Thanks for posting.
187,"Awsome video, I’m a public insurance adjuster looking to upgrade my moisture meter from lowes to a flir mr277. Before such an investment I want to make sure the tech actually works. This video was super informative and I feel much better about spending that much money on a tool I’m going to be using daily. Thanks!"
188,"Thanks so much for this video, I want it to check where the heat is coming in from and make my home cooler during the summer. 

This is the only video I found of someone waking around with the camera, it allowed me to check how far away I can look with the camera. It seems it will suit me perfectly!"
189,Thermal cameras are one of the handiest tools for finding issues. Too bad they're still so expensive for good ones
190,"Hello, I have a question: I would like to make an infrared measurement in a region where the climate is incredibly hot (up to 50°C / 122°F). What do I have to consider when entering the measurement parameters? Can I leave the default settings as they are or do I have to change them (e.g. emissivity)?"
191,"Yeah electric fittings letting draughts in  seem to be responsible for some cold spots, sockets, light fittings and switches."
192,"That was nice.
Thank you"
193,Hi Mark.  Thanks for the video.  Hey what model infrared camera are you using.
194,I live where it's hot and my A/C is more important than a heater. Would this work looking for hot air coming in?
195,"I've been searching for this type of content. All of the product review I each so far are bad. They show the product but they don't walk around showing it like the way you did. 
I will be buying one soon and be a video about it soon. I see fun things with it and also to check where the cold air in coming in from my home to so I can fix the problem. Great video. I enjoy it. Thanks."
196,Do you have any referrals in the st. Louis area that can find a leak and repair?
197,Hi Mark question i try to buy Flir one pro.what you think I can see water leak as well.I now you have better camera.Thanks Seb
198,"Which model camera are you using here?  I recently purchased a Flir C5,  as I walk through a home it freezes momentarily & says recalibrating.   I didn't see your do this at all..."
199,You found alot of leaks. Do you need to fix all the leaks or just the major leaks?
200,WOW! If I'm in your area your my realtor!
201,Does it detect water line from outside and inside the house
202,New video - bear attacks: https://youtu.be/8a6_VKTtY5o
203,"SO YOU TRY TO TELL ME, THAT YOU CAN SEE FARTS WITH THERMAL CAMERA, BUT BREATH IS STILL INVISIBLE. WOW."
204,I love how they just act like nothing ever happend 😂😂
205,Feels sad for those people thinking this is real
206,I watched this years ago. But can't get over it 😂😂
207,Even though it was fake I still died laughing 😂😂😂
208,0:45 I laughed so hard
209,"I've spent the last 3 years of my life exclusively watching farts with a thermal camera....and these are fake. OK, back to the grind."
210,I couldn't stop laughing lmao!!
211,I ACTUALLY LOVE THIS 😂😂
212,"plot twist: those ""farts"" are evil spirits leaving the human bodies."
213,😂😂😂 I NEVER LAUGHED SO HARD IN MY ENTIRE LIFE 😂😂😂
214,"Even tho this vid was edited still, it still gives me the laughs"
215,Bruh imagine seeing yourself in this video.
216,The pug one had me on the floor carting and laughing
217,I can’t stop laughing 😂😂😂
218,"That's not how farts dissipate, they tend to move within the cloths but good one, made my day"
219,It’s the little things like this that keeps up from ever. Getting. Sleep.
220,That one dude standing in front of you in line at Disneyland 😂
221,The funny thing is some people think this is real 😂
222,"00:28 5⃣ Klein Tools TI250: https://geni.us/3IVOmYL
02:53 4⃣ Hti-Xintai HT-18: https://geni.us/1L9jEQ
05:34 3⃣ Seek Thermal Revealpro: https://geni.us/eBeILy
07:40 2⃣ FLIR TG267: https://geni.us/H9aIyIM
10:11 1⃣ Hti-Xintai HT-19: https://geni.us/QBoN9"
223,"You said the HTI HT-191 at the end with a sensor of 320x240 was ""easily the highest of any on the list"" but your #3 seek reveal pro has the same resolution. As a general rule, I don't trust any research that's done based on  ""reading customer reviews"". This almost always means just seeing what has the highest Amazon ratings. Does anyone seriously trust Amazon reviews anymore?"
224,"Looks like sponsored ad. Why not mention Infiray devices? I have Infiray T2L attached to my phone via USB-C and it rocks! Manual focus is so great and 25 fps @ 288x192 thermal sensor makes it number one. Alu body, top quality for the price 1/3 of seek thermal reveal pro... Why havent you done deeper research on the market? All these shitty videos about ""top super hiper best"" are just shitty and showing no respect to us - Viewers. Channel banned. And this is mine, not sponsored opinion."
225,No real world test; there’s so many of these generic ‘review’ videos
226,What is the price please
227,Moreover = My favorite word
228,The ammount of bs this clip is saying it made me feel sleepy.
229,This video is a freaking joke.
230,"So, this is how Predators see our life"
231,"Man: Do I have to do this?
Buzzfeed: You are gonna get hard or you're fired"
232,"As a human, we take granted with what we can perceive and totally oblivious to the things we normally do not see. We can only see small degree in a spectrum of light but within that small fraction, we can see so much. Imagine what we miss out on if we can see everything..."
233,"1950s: I bet we will have flying cars in the future!
2014: Filming sexual content with thermal cameras"
234,Slightly disturbing how that happy face started crying...
235,"2:21
when you hit something accidentaly and say that's fine.... BUT IT HURTS REALLY HARD"
236,Poor guy only needed 2 pixels to block out his junk
